fiscal_year,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,Long,Lat,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,Community_district 1,Police_precinct
2020,21 JUMEL PLACE,NY,1002010,245005,-73.935815,40.839139,112,10,24900,1021120058,MN36,Washington Heights South,6,84,OFFICE OF CHARTER SCHOOLS,112,33
2020,131 EAST 104 STREET,NY,998801,227626,-73.94745,40.791444,111,8,16600,1016320011,MN33,East Harlem South,4,4,COMMUNITY SCHOOL DISTRICT 04,111,23
2020,735 WEST END AVENUE,NY,991450,228958,-73.973996,40.795109,107,6,18300,1012530065,MN12,Upper West Side,3,3,COMMUNITY SCHOOL DISTRICT 03,107,24
2020,220 WEST 121 STREET,NY,997690,233123,-73.951451,40.806534,110,9,22000,1019260017,MN11,Central Harlem South,3,3,COMMUNITY SCHOOL DISTRICT 03,110,28
2020,1700 3 AVENUE,NY,997980,225284,-73.95042,40.785018,108,5,15801,1015240023,MN40,Upper East Side-Carnegie Hill,2,2,COMMUNITY SCHOOL DISTRICT 02,108,19
2020,55 EAST 120 STREET,NY,1000305,231672,-73.942009,40.802547,111,9,19800,1017470001,MN34,East Harlem North,5,75,CITYWIDE SPECIAL EDUCATION,111,25
2020,220 HENRY STREET,NY,988117,199174,-73.986051,40.713362,103,1,201,1002690041,MN28,Lower East Side,1,84,OFFICE OF CHARTER SCHOOLS,103,7
2020,219 EAST 109 STREET,NY,1000322,228326,-73.941955,40.793363,111,8,18000,1016590012,MN34,East Harlem North,4,4,COMMUNITY SCHOOL DISTRICT 04,111,23
2020,32 WEST  92 STREET,NY,992995,226907,-73.968419,40.789479,107,6,17700,1012050006,MN12,Upper West Side,3,3,COMMUNITY SCHOOL DISTRICT 03,107,24
2020,2350 5TH AVENUE,NY,1002255,236932,-73.934951,40.81698,110,9,21400,1017390033,MN03,Central Harlem North-Polo Grounds,5,84,OFFICE OF CHARTER SCHOOLS,110,32
2020,160 WEST  78 STREET,NY,990337,224076,-73.97802,40.78171,107,6,16100,1011490007,MN12,Upper West Side,3,3,COMMUNITY SCHOOL DISTRICT 03,107,20
2020,215 WEST 114 STREET,NY,996920,231561,-73.9542,40.8022,110,9,21800,1018300019,MN11,Central Harlem South,3,3,COMMUNITY SCHOOL DISTRICT 03,110,28
2020,201 WARREN STREET,NY,980378,200503,-74.013967,40.71701,101,1,31703,1000160221,MN25,Battery Park City-Lower Manhattan,2,2,COMMUNITY SCHOOL DISTRICT 02,101,1
